id,created_at,text
776084155390189570,2016-09-14 15:44:16,b'Doughnuts &amp; volunteers help fuel this campaign. Happy to bring some treats &amp; say thanks in Charlotte this week. -Joe https://t.co/tRQ3nuh24Y'
775813079242305536,2016-09-13 21:47:06,"b""On VAWA's 22nd anniversary, join VP Biden and recommit to fighting to end domestic violence: https://t.co/AMoKY0OkUQ https://t.co/PKjhVgaIG3"""
775720444922068992,2016-09-13 15:39:00,b'Every woman in this country deserves to be free from harm and from fear. Proud to celebrate 22 years of the Violence Against Women Act. -Joe'
773189010395127808,2016-09-06 15:59:59,b'Fights for working people. Respects immigrants. Good taste in sunglasses. @timkaine is ready to be Vice President. https://t.co/vswV07WOZW'
771497094905462785,2016-09-01 23:56:55,"b""Folks, we've got to elect @HillaryClinton and take back the Senate. Let's roll up our sleeves and get to work. -Joe https://t.co/7MyhWs9sAc"""
771489750347812864,2016-09-01 23:27:44,"b'""They said we\'d never make more than 6 million cars a year again. We made 17 million last year!"" -VP Biden'"
771488282127560706,2016-09-01 23:21:54,"b'""My dad used to have an expression...don\'t tell me what you value. Show me your budget \xe2\x80\x94 I will tell you what you value."" -VP Biden'"
771486902591643648,2016-09-01 23:16:25,b'VP Biden is on his last stop of the day in Ohio. Watch him speak live from UAW Local 1005 right now: https://t.co/dMG56mjHhy'
771473158708789248,2016-09-01 22:21:48,b'RT @Ted_Strickland: Great to spend the day with @JoeBiden at the @CanfieldFair today! #OhSen https://t.co/sIMCy79F76'
771415108350271488,2016-09-01 18:31:08,"b""When you give the American people a chance, they'll never let you down. Happy to be here in Ohio today. -Joe https://t.co/0P5mjivYHJ"""
771401514032173056,2016-09-01 17:37:07,"b'The Vice President is talking to you live from UAW Local 1714 in Warren, Ohio. Tune in now: https://t.co/7HFnJ3pr4v'"
771383288623669248,2016-09-01 16:24:42,"b'""My name\'s Joe Biden, I\'m for @HillaryClinton and @Ted_Strickland. And Donald Trump is dangerous."" -VP Biden'"
771381556531396608,2016-09-01 16:17:49,"b'""It\'s about the stuff we\'re made of. It\'s about our values... Hillary gets it in her gut. She gets it."" -VP Biden'"
771379579701325824,2016-09-01 16:09:57,"b'""This ain\'t your father\'s Oldsmobile. This ain\'t your father\'s Republican Party."" -VP Biden'"
771378188450729984,2016-09-01 16:04:26,"b'""[Trump] was born with a silver spoon in his mouth that he\'s now choking on because his foot\'s in his mouth along with the spoon."" -VP Biden'"
771377587016826884,2016-09-01 16:02:02,"b'""The neighborhood you come from is where your character is etched. Where your values are set."" -VP Biden https://t.co/DQ99r0Od7e'"
771375165892620288,2016-09-01 15:52:25,"b'""I know I would not be standing here today as Vice President without you all \xe2\x80\x93 without the American Labor movement."" -VP Biden'"
771374432711573505,2016-09-01 15:49:30,"b'""My biggest problem with Donald Trump... is the way he treats people."" -VP Biden'"
771373671998980096,2016-09-01 15:46:29,"b""We're fighting for the middle-class workers who make America great. Follow along as VP Biden is back in Ohio today. https://t.co/lJUMetkav0"""
770327134686605313,2016-08-29 18:27:55,b'Joe and Hillary went home to Scranton. Take a behind-the-scenes look at their visit: https://t.co/xdiqa0dbdP'
768113386290831360,2016-08-23 15:51:16,"b""Eight years ago today, and the progress we've made is remarkable. \xe2\x80\x94Joe https://t.co/E54GhFlMq0 https://t.co/uTNNqr37ss"""
765279979810721792,2016-08-15 20:12:20,"b""We are America, and we're second to none. Together, let's elect @HillaryClinton the next President. https://t.co/F7K3fplY09"""
765256439531237376,2016-08-15 18:38:47,"b""Scranton, she has your back. Do you have hers? Visit https://t.co/tu6W6eS9xR to make sure you're ready to vote for Hillary in November. -Joe"""
765247149919571968,2016-08-15 18:01:52,"b'""It is never, never, never ever been a good bet to bet against the United States of America."" -VP Biden'"
765245895587819520,2016-08-15 17:56:53,"b'""Trump\xe2\x80\x99s ideas are not only profoundly wrong. They\xe2\x80\x99re very dangerous. They\xe2\x80\x99re very un-American."" -VP Biden'"
765244243006849024,2016-08-15 17:50:19,"b'""On every issue that matters most to our security, Donald Trump has no clue what it takes to lead this great country."" -VP Biden'"
765243766299062272,2016-08-15 17:48:26,"b'""[Trump] is trying to tell us he cares about the middle class? Give me a break... That\'s such a bunch of malarkey!"" -VP Biden'"
765243302509707264,2016-08-15 17:46:35,"b'""Hillary Clinton. She\xe2\x80\x99s always been there. That\xe2\x80\x99s her life story. And let\'s state the obvious\xe2\x80\x94that is not Donald Trump\xe2\x80\x99s story."" -VP'"
765243081822236672,2016-08-15 17:45:42,"b'""She understands what it means to...young girls...when it\'s President Hillary Rodham Clinton. It will change their lives."" -VP Biden'"
765241509146980352,2016-08-15 17:39:27,"b'""Everyone is entitled to be treated with dignity and respect... and America can be defined in one single word \xe2\x80\x94 \'possibilities.\'\xe2\x80\x9d -VP Biden'"
765226579693805569,2016-08-15 16:40:08,b'VP Biden is about to go live on https://t.co/c0F9NPZ9dY. Tune in for a live behind-the-scenes preview from Scranton.'
765217736104484865,2016-08-15 16:05:00,"b""Those are the values that Joe Biden brought to the White House &amp; they're the values @HillaryClinton will bring, too. https://t.co/crrQwousyw"""
765217016621961216,2016-08-15 16:02:08,b'Scranton families like the Bidens know the meaning of hard work and giving your kids a better life. https://t.co/MQoe5IxJUb'
765194171196051459,2016-08-15 14:31:21,"b""The VP is stepping up to the plate in Scranton again. He'll introduce @HillaryClinton to his hometown in a few hours https://t.co/iVjE25ohxl"""
762367327883104256,2016-08-07 19:18:29,"b""No one wants to earn a Purple Heart. But to those who did, you have America's unending gratitude and admiration. Thank you. #PurpleHeartDay"""
761590205967106048,2016-08-05 15:50:29,b'America is going to see what VP Biden already knows \xe2\x80\x94 just how much @HillaryClinton cares about our country. https://t.co/OakQ0Yhw0l'
759074085792014336,2016-07-29 17:12:19,"b'.@SarahEMcBride - Beau loved you, I love you, and all the Bidens are proud of you. -Joe'"
758474960989978625,2016-07-28 01:31:37,"b""Our choice in November is between division and hate \xe2\x80\x94 and the idea that we're stronger together. Let\xe2\x80\x99s go. https://t.co/Vc7191V3pq"""
758473908584677377,2016-07-28 01:27:26,"b'""I am more optimistic about our chances today than when I was elected as a 29-year-old kid to the Senate."" -VP Biden #DemsInPhilly'"
758473276075245568,2016-07-28 01:24:55,"b'""It\'s never been a good bet to bet against America."" -VP Biden #DemsInPhilly'"
758472735706193920,2016-07-28 01:22:46,b'\xe2\x80\x9cThe threats are too great and the times are too uncertain to elect Donald Trump president of the United States.\xe2\x80\x9d \xe2\x80\x93VP Biden #DemsInPhilly'
758472593896792064,2016-07-28 01:22:12,"b'""He has no clue. Period.\xe2\x80\x9d \xe2\x80\x93VP Biden on Donald Trump #DemsInPhilly'"
758471759708454913,2016-07-28 01:18:53,"b'""There\'s only one person in this race who will be there... That\'s Hillary Clinton\'s life story."" -VP Biden #DemsInPhilly'"
758470205886631937,2016-07-28 01:12:43,"b'""This is kind of a bittersweet moment."" -VP Biden\n\nEight years ago: https://t.co/zq2u667z7f'"
758459823570690048,2016-07-28 00:31:28,"b""I've seen Hillary in the Senate &amp; the Situation Room. Clear-eyed. Steady. Understands working people. Exactly the leadership we need. \xe2\x80\x93Joe"""
758459658080292864,2016-07-28 00:30:48,"b""It\xe2\x80\x99s good to be back, folks. We've got less than 4 months until Election Day, and I need you with me. Let's go elect some Democrats. \xe2\x80\x93Joe"""
594232715769065472,2015-05-01 20:11:34,b'Celebrating the workers who built this country. #MayDay http://t.co/s6Tc15VBbi'
580111605586882560,2015-03-23 20:59:19,"b""5 years ago I watched Pres. Obama sign the Affordable Care Act. We should all be proud of the difference it's made in millions of lives \xe2\x80\x93Joe"""
574315632818286593,2015-03-07 21:08:11,b'Stand up for voting rights as we remember #Selma50: http://t.co/FR8SARPXUr http://t.co/4fO4T4OdAG'
570717257254490114,2015-02-25 22:49:32,"b""This #progress is extraordinary, but we're not done. Add your name to keep the momentum going: http://t.co/lB20ILcmGq http://t.co/S919Af9VwD"""
566624124827480066,2015-02-14 15:44:53,b'\xe2\x99\xa5 http://t.co/ZGFT0PqoEj'
559821449771626496,2015-01-26 21:13:29,"b'Happy birthday, @TheEllenShow! Vice President Biden surprised her on the air. Watch: http://t.co/PwEKS32gLo'"
557707760557899776,2015-01-21 01:14:26,b'VP Biden is going to be listening to the #SOTU at 9pm ET tonight - join him here: http://t.co/NBNUZ6ibQe'
557656979100139520,2015-01-20 21:52:39,"b'""How do we make it better?"" Listen to VP Biden preview the State of the Union address: http://t.co/xIUBDInsIl #SOTU http://t.co/6UZbvWaGRR'"
557328650639802368,2015-01-20 00:07:59,"b'The example set by Dr. King is one that inspires us to work toward a more just and equal future. Today, we celebrate that legacy.'"
552569014359425024,2015-01-06 20:54:53,"b""The VP is pro-selfie. RT @igorbobic: Biden taking a selfie with Mark Warner's daughter for her Instagram account http://t.co/NmFtXEuy0O"""
552178887434977280,2015-01-05 19:04:40,b'VP Biden on how you can join millions of Americans who have quality health care thanks to the Affordable Care Act: https://t.co/UG3RuGpSb4'
548201296289751040,2014-12-25 19:39:08,b'Merry Christmas! RT @TheDemocrats: Wishing you a holiday filled with peace and joy. http://t.co/vXb6KacGSv'
544958348211527681,2014-12-16 20:52:49,b'Happy Chanukah! Vice President Biden will be speaking at the National Menorah Lighting at 4pm ET today. Listen here: http://t.co/Rp2uXt1hYi'
541655728180957185,2014-12-07 18:09:23,"b'Happy 227th, Delaware! On this day in 1787 it became the #firststate. http://t.co/E5AzX18lzB'"
537989379596505089,2014-11-27 15:20:38,"b'I never get tired of counting my blessings. We\xe2\x80\x99ve got so much to be thankful for. Happy Thanksgiving, everyone. -Joe'"
533014086939062272,2014-11-13 21:50:35,b'Looking good! #TBT http://t.co/Rh5b0rQFF9'
532191215853506560,2014-11-11 15:20:48,"b'To all the brave men and women who have served our nation, thank you, and happy Veterans Day. http://t.co/uQXC5dKd55'"
529747067405869056,2014-11-04 21:28:37,"b""RT @TheDemocrats: If you haven't voted yet, confirm your voting location here and head to the polls right now \xe2\x86\x92 http://t.co/hYH16bhwiD http\xe2\x80\xa6"""
529708828997455872,2014-11-04 18:56:41,"b""If you've already voted, give your friends a call right now and remind them to vote. http://t.co/NuF8byPfsS http://t.co/Vqf99EavVy"""
529692608290127873,2014-11-04 17:52:13,b'RT @TheDemocrats: Voted already? Thanks! RT and tag 3 friends who need to vote: http://t.co/hYH16bhwiD #IWillVote #GoVote2014 http://t.co/x\xe2\x80\xa6'
